community,date,complaints
Arlington,2012-01-01,0
Arlington,2012-02-01,0
Arlington,2012-03-01,0
Arlington,2012-04-01,0
Arlington,2012-05-01,0
Arlington,2012-06-01,0
Arlington,2012-07-01,0
Arlington,2012-08-01,0
Arlington,2012-09-01,0
Arlington,2012-10-01,0
Arlington,2012-11-01,0
Arlington,2012-12-01,0
Arlington,2013-07-01,0
Arlington,2013-08-01,1
Arlington,2013-09-01,2
Arlington,2013-10-01,0
Arlington,2013-11-01,0
Arlington,2013-12-01,1
Arlington,2014-01-01,0
Arlington,2014-02-01,0
Arlington,2014-03-01,0
Arlington,2014-04-01,2
Arlington,2014-05-01,14
Arlington,2014-06-01,4
Arlington,2014-07-01,4
Arlington,2014-08-01,65
Arlington,2014-09-01,34
Arlington,2014-10-01,85
Arlington,2014-11-01,26
Arlington,2014-12-01,72
Arlington,2015-01-01,67
Arlington,2015-02-01,164
Arlington,2015-03-01,275
Arlington,2015-04-01,360
Arlington,2015-05-01,140
Arlington,2015-06-01,83
Arlington,2015-07-01,143
Arlington,2015-08-01,190
Arlington,2015-09-01,89
Arlington,2015-10-01,145
Arlington,2015-11-01,140
Arlington,2015-12-01,107
Arlington,2016-01-01,127
Arlington,2016-02-01,116
Arlington,2016-03-01,90
Arlington,2016-04-01,106
Arlington,2016-05-01,159
Arlington,2016-06-01,392
Arlington,2016-07-01,199
Arlington,2016-08-01,163
Arlington,2016-09-01,51
Arlington,2016-10-01,203
Arlington,2016-11-01,210
Arlington,2016-12-01,146
Arlington,2017-01-01,165
Arlington,2017-02-01,279
Arlington,2017-03-01,250
Arlington,2017-04-01,100
Arlington,2017-05-01,280
Arlington,2017-06-01,366
Arlington,2017-07-01,200
Arlington,2017-08-01,174
Arlington,2017-09-01,113
Arlington,2017-10-01,110
Arlington,2017-11-01,80
Arlington,2017-12-01,108
Arlington,2018-01-01,73
Arlington,2018-02-01,101
Arlington,2018-03-01,96
Arlington,2018-04-01,127
Arlington,2018-05-01,52
Arlington,2018-06-01,86
Arlington,2018-07-01,44
Arlington,2018-08-01,65
Arlington,2018-09-01,50
Arlington,2018-10-01,284
Arlington,2018-11-01,171
Arlington,2018-12-01,116
Arlington,2019-01-01,110
Arlington,2019-02-01,209
Arlington,2019-03-01,129
Arlington,2019-04-01,155
Arlington,2019-05-01,130
Arlington,2019-06-01,723
Arlington,2019-07-01,535
Arlington,2019-08-01,462
Arlington,2019-09-01,644
Arlington,2019-10-01,1221
Arlington,2019-11-01,1408
Arlington,2019-12-01,1498
Arlington,2020-01-01,1985
Arlington,2020-02-01,1279
Arlington,2020-03-01,728
Arlington,2020-04-01,169
Arlington,2020-05-01,242
Arlington,2020-06-01,521
Arlington,2020-07-01,522
Arlington,2020-08-01,399
Arlington,2020-09-01,555
Arlington,2020-10-01,854
Arlington,2020-11-01,809
Arlington,2020-12-01,541
Arlington,2021-01-01,986
Arlington,2021-02-01,771
Arlington,2021-03-01,647
Arlington,2021-04-01,696
Arlington,2021-05-01,571
Arlington,2021-06-01,384
Arlington,2021-07-01,608
Arlington,2021-08-01,285
Arlington,2021-09-01,639
Arlington,2021-10-01,260
Arlington,2021-11-01,1673
Arlington,2021-12-01,1320
Arlington,2022-01-01,1020
Arlington,2022-02-01,769
Arlington,2022-03-01,1455
Arlington,2022-04-01,1968
Arlington,2022-05-01,567
Arlington,2022-06-01,943
Arlington,2022-07-01,768
Arlington,2022-08-01,699
Arlington,2022-09-01,290
Arlington,2022-10-01,440
Arlington,2022-11-01,1132
Arlington,2022-12-01,1218
Arlington,2023-01-01,1498
Jamaica Plain,2012-01-01,2
Jamaica Plain,2012-02-01,9
Jamaica Plain,2012-03-01,5
Jamaica Plain,2012-04-01,17
Jamaica Plain,2012-05-01,2
Jamaica Plain,2012-06-01,0
Jamaica Plain,2012-07-01,0
Jamaica Plain,2012-08-01,1
Jamaica Plain,2012-09-01,1
Jamaica Plain,2012-10-01,0
Jamaica Plain,2012-11-01,11
Jamaica Plain,2012-12-01,6
Jamaica Plain,2013-07-01,5
Jamaica Plain,2013-08-01,18
Jamaica Plain,2013-09-01,14
Jamaica Plain,2013-10-01,8
Jamaica Plain,2013-11-01,13
Jamaica Plain,2013-12-01,22
Jamaica Plain,2014-01-01,2
Jamaica Plain,2014-02-01,5
Jamaica Plain,2014-03-01,9
Jamaica Plain,2014-04-01,14
Jamaica Plain,2014-05-01,12
Jamaica Plain,2014-06-01,22
Jamaica Plain,2014-07-01,22
Jamaica Plain,2014-08-01,86
Jamaica Plain,2014-09-01,44
Jamaica Plain,2014-10-01,21
Jamaica Plain,2014-11-01,20
Jamaica Plain,2014-12-01,11
Jamaica Plain,2015-01-01,36
Jamaica Plain,2015-02-01,20
Jamaica Plain,2015-03-01,52
Jamaica Plain,2015-04-01,16
Jamaica Plain,2015-05-01,14
Jamaica Plain,2015-06-01,38
Jamaica Plain,2015-07-01,16
Jamaica Plain,2015-08-01,26
Jamaica Plain,2015-09-01,8
Jamaica Plain,2015-10-01,15
Jamaica Plain,2015-11-01,25
Jamaica Plain,2015-12-01,25
Jamaica Plain,2016-01-01,12
Jamaica Plain,2016-02-01,10
Jamaica Plain,2016-03-01,19
Jamaica Plain,2016-04-01,27
Jamaica Plain,2016-05-01,32
Jamaica Plain,2016-06-01,31
Jamaica Plain,2016-07-01,33
Jamaica Plain,2016-08-01,14
Jamaica Plain,2016-09-01,11
Jamaica Plain,2016-10-01,58
Jamaica Plain,2016-11-01,91
Jamaica Plain,2016-12-01,91
Jamaica Plain,2017-01-01,76
Jamaica Plain,2017-02-01,45
Jamaica Plain,2017-03-01,54
Jamaica Plain,2017-04-01,64
Jamaica Plain,2017-05-01,188
Jamaica Plain,2017-06-01,234
Jamaica Plain,2017-07-01,165
Jamaica Plain,2017-08-01,223
Jamaica Plain,2017-09-01,393
Jamaica Plain,2017-10-01,242
Jamaica Plain,2017-11-01,168
Jamaica Plain,2017-12-01,170
Jamaica Plain,2018-01-01,121
Jamaica Plain,2018-02-01,184
Jamaica Plain,2018-03-01,144
Jamaica Plain,2018-04-01,164
Jamaica Plain,2018-05-01,119
Jamaica Plain,2018-06-01,172
Jamaica Plain,2018-07-01,115
Jamaica Plain,2018-08-01,39
Jamaica Plain,2018-09-01,1011
Jamaica Plain,2018-10-01,1545
Jamaica Plain,2018-11-01,2111
Jamaica Plain,2018-12-01,2672
Jamaica Plain,2019-01-01,1853
Jamaica Plain,2019-02-01,1119
Jamaica Plain,2019-03-01,1977
Jamaica Plain,2019-04-01,1636
Jamaica Plain,2019-05-01,1422
Jamaica Plain,2019-06-01,970
Jamaica Plain,2019-07-01,635
Jamaica Plain,2019-08-01,893
Jamaica Plain,2019-09-01,1485
Jamaica Plain,2019-10-01,1244
Jamaica Plain,2019-11-01,2020
Jamaica Plain,2019-12-01,1888
Jamaica Plain,2020-01-01,1690
Jamaica Plain,2020-02-01,730
Jamaica Plain,2020-03-01,1461
Jamaica Plain,2020-04-01,787
Jamaica Plain,2020-05-01,355
Jamaica Plain,2020-06-01,97
Jamaica Plain,2020-07-01,148
Jamaica Plain,2020-08-01,612
Jamaica Plain,2020-09-01,475
Jamaica Plain,2020-10-01,694
Jamaica Plain,2020-11-01,464
Jamaica Plain,2020-12-01,28
Jamaica Plain,2021-01-01,34
Jamaica Plain,2021-02-01,54
